ticker,date,open,high,low,close
CVNA,2017-04-28,13.5,13.94,10.7,11.1
CVNA,2017-05-01,11.6,11.73,10.7,10.77
CVNA,2017-05-02,10.95,10.95,10.0,10.1
CVNA,2017-05-03,10.18,10.18,8.18,8.72
CVNA,2017-05-04,8.59,10.04,8.14,9.98
CVNA,2017-05-05,10.15,11.05,9.75,10.92
CVNA,2017-05-08,11.04,11.14,10.5,10.8
CVNA,2017-05-09,10.8,11.0899,10.4,10.55
CVNA,2017-05-10,10.56,10.74,9.61,10.74
CVNA,2017-05-11,10.62,11.35,10.4,11.0
CVNA,2017-05-12,11.03,11.47,10.6,11.35
CVNA,2017-05-15,11.45,11.7,11.3525,11.52
CVNA,2017-05-16,11.7,11.82,11.4872,11.76
CVNA,2017-05-17,11.68,11.87,10.91,11.66
CVNA,2017-05-18,11.5,11.88,11.24,11.52
CVNA,2017-05-19,11.62,11.7127,11.2611,11.4
CVNA,2017-05-22,12.39,12.39,10.99,11.08
CVNA,2017-05-23,11.63,11.74,10.31,10.81
CVNA,2017-05-24,11.07,11.59,10.83,10.91
CVNA,2017-05-25,11.05,11.08,10.58,10.65
CVNA,2017-05-26,10.73,10.8775,10.49,10.73
CVNA,2017-05-30,10.79,10.875,10.0,10.18
CVNA,2017-05-31,10.18,10.4348,9.39,10.05
CVNA,2017-06-01,10.04,10.3,9.03,9.33
CVNA,2017-06-02,9.33,9.6,9.26,9.53
CVNA,2017-06-05,9.57,9.72,8.845,9.0
CVNA,2017-06-06,9.24,9.81,9.0601,9.53
CVNA,2017-06-07,10.94,12.83,10.5,12.66
CVNA,2017-06-08,13.12,14.5,12.86,13.2
CVNA,2017-06-09,13.32,13.7,12.98,13.3
CVNA,2017-06-12,13.53,14.08,12.1301,14.0
CVNA,2017-06-13,14.33,15.49,14.06,15.11
CVNA,2017-06-14,15.39,16.8375,15.38,16.7
CVNA,2017-06-15,16.41,17.94,16.02,17.68
CVNA,2017-06-16,17.6,19.8,17.6,19.31
CVNA,2017-06-19,19.75,20.4299,18.81,19.54
CVNA,2017-06-20,19.66,19.78,18.37,18.91
CVNA,2017-06-21,19.14,20.0,19.14,19.53
CVNA,2017-06-22,19.7,22.8,19.38,21.14
CVNA,2017-06-23,21.72,21.72,19.82,21.43
CVNA,2017-06-26,21.5,23.7,21.329,23.39
CVNA,2017-06-27,23.59,23.59,21.75,22.17
CVNA,2017-06-28,22.07,22.2745,20.3601,20.66
